Generation 1, Best Path: [0, 5, 8, 7], Cost: 10.0
Generation 2, Best Path: [0, 8, 5, 7], Cost: 9.0     
Generation 3, Best Path: [0, 5, 8, 7], Cost: 10.0    
Generation 4, Best Path: [0, 8, 7], Cost: 9.0
Generation 5, Best Path: [0, 5, 8, 7], Cost: 10.0    
Generation 6, Best Path: [0, 8, 7], Cost: 9.0
Generation 7, Best Path: [0, 5, 8, 7], Cost: 10.0    
Generation 8, Best Path: [0, 5, 8, 7], Cost: 10.0    
Generation 9, Best Path: [0, 5, 8, 7], Cost: 10.0
Generation 10, Best Path: [0, 8, 7], Cost: 9.0       
Generation 11, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 12, Best Path: [0, 8, 7], Cost: 9.0
Generation 13, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 14, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 15, Best Path: [0, 5, 8, 7], Cost: 10.0
Generation 16, Best Path: [0, 8, 7], Cost: 9.0       
Generation 17, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 18, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 19, Best Path: [0, 5, 8, 7], Cost: 10.0
Generation 20, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 21, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 22, Best Path: [0, 5, 8, 7], Cost: 10.0
Generation 23, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 24, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 25, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 26, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 27, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 28, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 29, Best Path: [0, 5, 8, 7], Cost: 10.0
Generation 30, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 31, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 32, Best Path: [0, 5, 8, 7], Cost: 10.0
Generation 33, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 34, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 35, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 36, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 37, Best Path: [0, 5, 8, 7], Cost: 10.0
Generation 38, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 39, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 40, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 41, Best Path: [0, 5, 8, 7], Cost: 10.0
Generation 42, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 43, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 44, Best Path: [0, 5, 8, 7], Cost: 10.0
Generation 45, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 46, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 47, Best Path: [0, 5, 8, 7], Cost: 10.0
Generation 48, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 49, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 50, Best Path: [0, 5, 8, 7], Cost: 10.0
Generation 51, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 52, Best Path: [0, 5, 8, 7], Cost: 10.0
Generation 53, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 54, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 55, Best Path: [0, 5, 8, 7], Cost: 10.0
Generation 56, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 57, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 58, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 59, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 60, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 61, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 62, Best Path: [0, 5, 8, 7], Cost: 10.0
Generation 63, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 64, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 65, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 66, Best Path: [0, 5, 8, 7], Cost: 10.0
Generation 67, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 68, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 69, Best Path: [0, 5, 8, 7], Cost: 10.0
Generation 70, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 71, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 72, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 73, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 74, Best Path: [0, 5, 8, 7], Cost: 10.0
Generation 75, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 76, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 77, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 78, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 79, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 80, Best Path: [0, 5, 8, 7], Cost: 10.0
Generation 81, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 82, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 83, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 84, Best Path: [0, 5, 8, 7], Cost: 10.0
Generation 85, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 86, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 87, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 88, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 89, Best Path: [0, 5, 8, 7], Cost: 10.0
Generation 90, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 91, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 92, Best Path: [0, 5, 8, 7], Cost: 10.0
Generation 93, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 94, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 95, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 96, Best Path: [0, 5, 8, 7], Cost: 10.0
Generation 97, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 98, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 99, Best Path: [0, 5, 8, 7], Cost: 10.0   
Generation 100, Best Path: [0, 5, 8, 7], Cost: 10.0
PS D:\DAA_CIA2_teju> 




